k_i,k_r,weights,
0.00235636,0.141466,0.00189642,
0.00182182,0.108454,0.0020714,
0.00185853,0.103126,0.00209868,
0.00283825,0.160537,0.00162382,
0.00239921,0.145685,0.00189344,
0.00228712,0.145918,0.00187557,
0.00231274,0.14551,0.00184754,
0.00181513,0.107385,0.00208461,
0.00147874,0.0806786,0.00207414,
0.00234295,0.140776,0.00192268,
0.00183226,0.105188,0.0021076,
0.00184962,0.105751,0.00210228,
0.00230648,0.146243,0.00188158,
0.00183489,0.10695,0.00209868,
0.00238498,0.142222,0.0019069,
0.00179316,0.106699,0.00208186,
0.00168505,0.100918,0.00205647,
0.00151495,0.080523,0.00208083,
0.00182227,0.0987916,0.00207654,
0.00180933,0.103822,0.00208375,
0.00183405,0.107959,0.00209662,
0.00150342,0.0805982,0.00206539,
0.00184769,0.102852,0.00210708,
0.0024805,0.154517,0.00181977,
0.00177897,0.107654,0.00205167,
0.00235947,0.128505,0.00182439,
0.00183103,0.106552,0.00207792,
0.00196609,0.101574,0.00187325,
0.0027663,0.159734,0.00177433,
0.00176599,0.107291,0.00202491,
0.00180695,0.099429,0.00210039,
0.00250619,0.156365,0.00182792,
0.00250419,0.155507,0.00183594,
0.0018794,0.114691,0.00202593,
0.00195579,0.123921,0.00191059,
0.0025002,0.157276,0.00177828,
0.00224249,0.144855,0.00182452,
0.00174255,0.0861891,0.00182229,
0.001777,0.108926,0.00201547,
0.00179269,0.100149,0.00211738,
0.00178487,0.0979325,0.00210434,
0.0027483,0.176644,0.00173146,
0.00165717,0.0985002,0.00204481,
0.00241771,0.154749,0.00179792,
0.00223974,0.12484,0.00192429,
0.00243153,0.152351,0.00185262,
0.00233148,0.127005,0.00182686,
0.0021062,0.118732,0.00200737,
0.00187215,0.101552,0.00206574,
0.00155684,0.0836018,0.0020901,
0.00169006,0.100158,0.0020611,
0.00174347,0.10702,0.00199248,
0.00228349,0.146778,0.00183694,
0.00208006,0.123244,0.00203773,
0.00196925,0.116897,0.00204017,
0.00280715,0.158411,0.00159286,
0.00191357,0.123988,0.00183043,
0.00174417,0.101494,0.00210296,
0.00218581,0.126631,0.00202182,
0.00221982,0.123118,0.00192903,
0.00241449,0.154228,0.0017437,
0.00179481,0.104126,0.00209696,
0.00177473,0.105583,0.0020726,
0.00149044,0.0796995,0.00207208,
0.00177787,0.109536,0.00199986,
0.00224067,0.128489,0.00199092,
0.00175493,0.106238,0.00204686,
0.0019152,0.11538,0.00203486,
0.00148614,0.0814222,0.00210537,
0.00173261,0.0901676,0.00200209,
0.00167458,0.10327,0.00196126,
0.0019669,0.116873,0.00206642,
0.0018792,0.125241,0.00170611,
0.00286575,0.160552,0.00162317,
0.00178494,0.102888,0.0021172,
0.00177145,0.103521,0.00209181,
0.00210228,0.137175,0.00180279,
0.00250699,0.157754,0.00179965,
0.00179567,0.106031,0.00208872,
0.00184275,0.100283,0.00206316,
0.00228226,0.131427,0.00195597,
0.00245554,0.153145,0.0018532,
0.00173529,0.100242,0.00210039,
0.00202045,0.118417,0.00204686,
0.00152728,0.0831405,0.00210365,
0.00188951,0.111496,0.00208667,
0.00170716,0.100707,0.00207912,
0.00172902,0.103525,0.00205613,
0.00236894,0.137551,0.00194539,
0.00238953,0.148517,0.00189215,
0.00176872,0.100771,0.00212921,
0.00169524,0.100294,0.00208804,
0.00166633,0.103196,0.00196658,
0.0019679,0.109878,0.00205905,
0.00171084,0.100699,0.00209181,
0.00179762,0.105113,0.00209387,
0.0021397,0.124127,0.00202042,
0.00187129,0.0995354,0.00201324,
0.00179707,0.10784,0.00205802,
0.00243565,0.152819,0.00184228,
0.00293322,0.179985,0.00171932,
0.00287554,0.161344,0.00163996,
0.00182689,0.100889,0.00208289,
0.0017137,0.104297,0.00199574,
0.00174843,0.104921,0.00205304,
0.00172924,0.103831,0.00202044,
0.00193679,0.104686,0.00199145,
0.00182425,0.100422,0.00205682,
0.00181303,0.103516,0.00208958,
0.0023816,0.145675,0.00189889,
0.00180565,0.107891,0.00206007,
0.00173945,0.103975,0.0020563,
0.00250519,0.15869,0.00184687,
0.00234877,0.140486,0.00192606,
0.0016725,0.0901455,0.0020961,
0.00180139,0.0999704,0.0021112,
0.00185544,0.101832,0.00208461,
0.00177343,0.10633,0.00204772,
0.00238409,0.142091,0.00194358,
0.00205928,0.121528,0.00203597,
0.00175129,0.102636,0.00208238,
0.00172423,0.103741,0.00204584,
0.00162766,0.0954087,0.00209044,
0.00229917,0.125195,0.001846,
0.00212336,0.118939,0.00199588,
0.00177124,0.105961,0.00206505,
0.0016437,0.102069,0.00194033,
0.00166605,0.0985838,0.00206694,
0.00197073,0.103762,0.00194547,
0.00178408,0.106223,0.00206917,
0.00183311,0.108103,0.00208083,
0.00185277,0.107977,0.00209078,
0.00178941,0.100806,0.002116,
0.00214805,0.123477,0.00198261,
0.00177833,0.0996053,0.00211189,
0.00239426,0.153085,0.00185757,
0.00192029,0.107861,0.00207414,
0.00231856,0.142486,0.00188912,
0.00186301,0.102496,0.00208478,
0.0015382,0.0915802,0.00202628,
0.00183505,0.101143,0.0021136,
