Time,S,I,R,
0,95,5,0
15,95,5,0
30,76,9.6,14.4
45,56.2,10.4,33.4
60,45,5.2,49.8
75,38.4,4.2,57.4
90,33.4,2.2,64.4
105,31.4,0.8,67.8
120,31,0,69
135,31,0,69
150,31,0,69
