theta_0,theta_1,distances,
0.000205722, 0.157533, 323.832, 
0.00143781, 0.15405, 263.784, 
0.00105469, 0.13426, 285.675, 
7.68694e-05, 0.165372, 325.357, 
0.00113568, 0.0166983, 144.143, 
0.000702016, 0.133258, 312.915, 
0.0011036, 0.112292, 252.552, 
0.00135688, 0.00838048, 206.032, 
0.000205194, 0.0258649, 305.054, 
0.000967919, 0.0848837, 237.209, 
0.00187809, 0.0891737, 55.7374, 
0.00253626, 0.0777958, 56.6229, 
0.000119671, 0.114867, 324.902, 
0.00226102, 0.0147694, 146.8, 
0.00184411, 0.0159544, 138.471, 
0.00119809, 0.188573, 301.436, 
0.00294432, 0.102546, 52.8329, 
0.00148755, 0.0599435, 68.2339, 
0.000189785, 0.0622205, 318.997, 
0.000995863, 0.161001, 299.149, 
0.00243518, 0.124564, 79.3961, 
0.00174345, 0.0450286, 62.4007, 
0.00284277, 0.0545458, 78.4027, 
0.00274837, 0.0926711, 56.9405, 
0.00172324, 0.174062, 259.767, 
0.00278603, 0.0973934, 52.8854, 
0.00093128, 0.183022, 308.805, 
0.0018131, 0.00698729, 223.096, 
0.00135068, 0.195105, 296.839, 
0.00226839, 0.0678111, 49.7508, 
0.00191067, 0.0660134, 44.9883, 
0.00233061, 0.0205423, 117.237, 
0.00156874, 0.0204723, 118.773, 
0.00119641, 0.0494315, 102.465, 
0.00243515, 0.0391929, 80.8413, 
0.00113964, 0.120339, 268.317, 
0.00281816, 0.132129, 59.7964, 
0.000276539, 0.078939, 316.993, 
0.00148107, 0.175796, 279.868, 
0.000387096, 0.196673, 321.76, 
0.00252027, 0.0190601, 127.52, 
0.00274256, 0.145666, 70.6047, 
0.00145711, 0.106145, 180.156, 
0.00141537, 0.123418, 224.747, 
0.000750456, 0.0316228, 165.542, 
0.00195105, 0.145902, 183.546, 
0.00128927, 0.0615973, 101.356, 
0.000912402, 0.195631, 310.548, 
0.000443743, 0.178051, 320.257, 
0.00172568, 0.0973562, 101.327, 
0.00296377, 0.0972869, 54.9277, 
0.00296011, 0.160192, 80.8456, 
0.000463489, 0.0714968, 303.664, 
0.00295168, 0.076804, 69.5392, 
0.00278924, 0.161666, 101.929, 
0.0011188, 0.102268, 244.003, 
0.00133806, 0.0391189, 79.5962, 
0.000946266, 0.183345, 309.68, 
0.000894099, 0.126337, 296.997, 
0.000703351, 0.123414, 304.02, 
0.00194296, 0.0600311, 51.7011, 
0.000232142, 0.127527, 321.809, 
0.00018811, 0.140619, 323.238, 
0.000802585, 0.182848, 312.185, 
0.00142709, 0.0156866, 143.992, 
0.000595542, 0.0827921, 297.188, 
0.000420441, 0.100857, 312.118, 
0.00192724, 0.0573835, 51.1866, 
0.00171965, 0.0340767, 80.9686, 
0.00136473, 0.0502229, 81.7624, 
0.00114362, 0.0483254, 96.8924, 
0.00213051, 0.181719, 222.267, 
0.000361312, 0.192862, 322.539, 
0.00254804, 0.0343937, 86.4204, 
0.00129101, 0.054672, 89.9758, 
0.00170363, 0.161581, 236.251, 
0.00211813, 0.0490168, 64.8578, 
0.00194767, 0.198893, 262.659, 
0.00143907, 0.1507, 257.122, 
0.00110833, 0.134263, 283.573, 
0.000510989, 0.0572684, 290.649, 
0.00224457, 0.0778529, 43.9124, 
0.00177484, 0.0479494, 62.2182, 
0.00158592, 0.0786792, 85.0854, 
0.0019992, 0.0794739, 37.7031, 
0.000500288, 0.0585178, 285.281, 
0.00152392, 0.104944, 165.232, 
0.00164155, 0.151987, 249.559, 
0.00146182, 0.141032, 250.521, 
0.00266308, 0.0408275, 83.4419, 
0.00240113, 0.0803199, 46.8503, 
0.00196481, 0.0595046, 53.1872, 
0.00201605, 0.193626, 243.278, 
0.00267787, 0.114323, 51.0494, 
